name,manufacturer,shelf,weight,cups,type,old_calories,old_protein,old_fat,old_sodium,old_fiber,old_carbohydrates,old_sugars,old_potassium,old_vitamins,rating,calories,protein,fat,sodium,fiber,carbohydrates,sugars,potassium,vitamins,fat_in_bowl,carb_in_bowl,protein_in_bowl,sugar_in_bowl,fat_fraction,carb_fraction,protein_fraction,sugar_fraction
Life,Quaker Oats,2,1,0.67,cold,100,4,2,150,2,12,6,95,25,45.328074,3.531073446,0.141242938,0.070621469,5.296610169,0.070621469,0.423728814,0.211864407,3.354519774,0.882768362,2.98718273,17.92309638,5.974365461,8.961548191,0.045956657,0.079658206,0.106685098,0.248931894
Lucky Charms,General Mills,2,1,1,cold,110,2,1,180,0,12,12,55,25,26.734515,3.884180791,0.070621469,0.035310734,6.355932203,0,0.423728814,0.423728814,1.942090395,0.882768362,1.000706215,12.00847458,2.001412429,12.00847458,0.01539548,0.053370998,0.035739508,0.333568738
Maypo,American Home Food Products,2,1,-1,hot,100,4,1,0,0,16,3,95,25,54.850917,3.531073446,0.141242938,0.035310734,0,0,0.564971751,0.105932203,3.354519774,0.882768362,-1.000706215,-16.01129944,-4.002824859,-3.002118644,-0.01539548,-0.071161331,-0.071479015,-0.083392185
"Muesli Raisins, Dates, & Almonds",Ralston Purina,3,-1,-1,cold,150,4,3,95,3,16,11,170,25,37.136863,-5.296610169,-0.141242938,-0.105932203,-3.354519774,-0.105932203,-0.564971751,-0.388418079,-6.002824859,-0.882768362,-3.002118644,-16.01129944,-4.002824859,-11.00776836,-0.046186441,-0.071161331,-0.071479015,-0.305771343
"Muesli Raisins, Peaches, & Pecans",Ralston Purina,3,-1,-1,cold,150,4,3,150,3,16,11,170,25,34.139765,-5.296610169,-0.141242938,-0.105932203,-5.296610169,-0.105932203,-0.564971751,-0.388418079,-6.002824859,-0.882768362,-3.002118644,-16.01129944,-4.002824859,-11.00776836,-0.046186441,-0.071161331,-0.071479015,-0.305771343
Mueslix Crispy Blend,Kelloggs,3,1.5,0.67,cold,160,3,2,150,3,17,13,160,25,30.313351,3.766478343,0.070621469,0.047080979,3.531073446,0.070621469,0.400188324,0.306026365,3.766478343,0.588512241,2.98718273,25.39105321,4.480774096,19.41668775,0.045956657,0.112849125,0.080013823,0.539352437
Multi-Grain Cheerios,General Mills,1,1,1,cold,100,2,1,220,2,15,6,90,25,40.105965,3.531073446,0.070621469,0.035310734,7.768361582,0.070621469,0.529661017,0.211864407,3.177966102,0.882768362,1.000706215,15.01059322,2.001412429,6.004237288,0.01539548,0.066713748,0.035739508,0.166784369
Nut&Honey Crunch,Kelloggs,2,1,0.67,cold,120,2,1,190,0,15,9,40,25,29.924285,4.237288136,0.070621469,0.035310734,6.709039548,0,0.529661017,0.31779661,1.412429379,0.882768362,1.493591365,22.40387048,2.98718273,13.44232229,0.022978329,0.099572758,0.053342549,0.373397841
Nutri-Grain Almond-Raisin,Kelloggs,3,1.33,0.67,cold,140,3,2,220,3,21,7,130,25,40.69232,3.716919417,0.079648273,0.053098849,5.84087337,0.079648273,0.557537913,0.185845971,3.451425173,0.66373561,2.98718273,31.36541867,4.480774096,10.45513956,0.045956657,0.139401861,0.080013823,0.290420543
Nutri-grain Wheat,Kelloggs,3,1,-1,cold,90,3,0,170,3,18,2,90,25,59.642837,3.177966102,0.105932203,0,6.002824859,0.105932203,0.63559322,0.070621469,3.177966102,0.882768362,0,-18.01271186,-3.002118644,-2.001412429,0,-0.080056497,-0.053609262,-0.05559479
Oatmeal Raisin Crisp,General Mills,3,1.25,0.5,cold,130,3,2,170,1.5,13.5,10,120,25,30.450843,3.672316384,0.084745763,0.056497175,4.802259887,0.042372881,0.381355932,0.282485876,3.389830508,0.706214689,4.002824859,27.0190678,6.004237288,20.01412429,0.061581921,0.120084746,0.107218523,0.555947897
Post Nat. Raisin Bran,Post,3,1.33,0.67,cold,120,3,1,200,6,11,14,260,25,37.840594,3.185930929,0.079648273,0.026549424,5.309884882,0.159296546,0.292043668,0.371691942,6.902850346,0.66373561,1.493591365,16.42950502,4.480774096,20.91027911,0.022978329,0.073020022,0.080013823,0.580841086
Product 19,Kelloggs,3,1,1,cold,100,3,0,320,1,20,3,45,100,41.50354,3.531073446,0.105932203,0,11.29943503,0.035310734,0.706214689,0.105932203,1.588983051,3.531073446,0,20.01412429,3.002118644,3.002118644,0,0.088951664,0.053609262,0.083392185
Puffed Rice,Quaker Oats,3,0.5,1,cold,50,1,0,0,0,13,0,15,0,60.756112,3.531073446,0.070621469,0,0,0,0.918079096,0,1.059322034,0,0,13.00918079,1.000706215,0,0,0.057818581,0.017869754,0
Puffed Wheat,Quaker Oats,3,0.5,-1,cold,50,2,0,0,1,10,0,50,0,63.005645,3.531073446,0.141242938,0,0,0.070621469,0.706214689,0,3.531073446,0,0,-10.00706215,-2.001412429,0,0,-0.044475832,-0.035739508,0
Quaker Oat Squares,Quaker Oats,3,1,0.5,cold,100,4,1,135,2,14,6,110,25,49.511874,3.531073446,0.141242938,0.035310734,4.766949153,0.070621469,0.494350282,0.211864407,3.884180791,0.882768362,2.001412429,28.01977401,8.005649718,12.00847458,0.03079096,0.124532329,0.142958031,0.333568738
Quaker Oatmeal,Quaker Oats,1,1,0.67,hot,100,5,2,0,2.7,-1,-1,110,0,50.828392,3.531073446,0.176553672,0.070621469,0,0.095338983,-0.035310734,-0.035310734,3.884180791,0,2.98718273,-1.493591365,7.467956826,-1.493591365,0.045956657,-0.006638184,0.133356372,-0.041488649
Raisin Bran,Kelloggs,2,1.33,0.75,cold,120,3,1,210,5,14,12,240,25,39.259197,3.185930929,0.079648273,0.026549424,5.575379126,0.132747122,0.371691942,0.318593093,6.371861858,0.66373561,1.334274953,18.67984934,4.002824859,16.01129944,0.020527307,0.083021553,0.071479015,0.444758318
Raisin Nut Bran,General Mills,3,1,0.5,cold,100,3,2,140,2.5,10.5,8,140,25,39.7034,3.531073446,0.105932203,0.070621469,4.943502825,0.088276836,0.370762712,0.282485876,4.943502825,0.882768362,4.002824859,21.01483051,6.004237288,16.01129944,0.061581921,0.093399247,0.107218523,0.444758318
Raisin Squares,Kelloggs,3,1,0.5,cold,90,2,0,0,2,15,6,110,25,55.333142,3.177966102,0.070621469,0,0,0.070621469,0.529661017,0.211864407,3.884180791,0.882768362,0,30.02118644,4.002824859,12.00847458,0,0.133427495,0.071479015,0.333568738
Rice Chex,Ralston Purina,1,1,1.13,cold,110,1,0,240,0,23,2,30,25,41.998933,3.884180791,0.035310734,0,8.474576271,0,0.812146893,0.070621469,1.059322034,0.882768362,0,20.36835658,0.885580721,1.771161442,0,0.090526029,0.015813941,0.049198929
Rice Krispies,Kelloggs,1,1,1,cold,110,2,0,290,0,22,3,35,25,40.560159,3.884180791,0.070621469,0,10.24011299,0,0.776836158,0.105932203,1.235875706,0.882768362,0,22.01553672,2.001412429,3.002118644,0,0.09784683,0.035739508,0.083392185
Shredded Wheat,Nabisco,1,0.83,-1,cold,80,2,0,0,3,16,0,95,0,68.235885,3.403444286,0.085086107,0,0,0.127629161,0.680688857,0,4.041590089,0,0,-16.01129944,-2.001412429,0,0,-0.071161331,-0.035739508,0
Shredded Wheat spoon size,Nabisco,1,1,0.67,cold,90,3,0,0,3,20,0,120,0,74.472949,3.177966102,0.105932203,0,0,0.105932203,0.706214689,0,4.237288136,0,0,29.8718273,4.480774096,0,0,0.132763677,0.080013823,0
"Shredded Wheat, n Bran",Nabisco,1,1,0.67,cold,90,3,0,0,4,19,0,140,0,72.801787,3.177966102,0.105932203,0,0,0.141242938,0.670903955,0,4.943502825,0,0,28.37823594,4.480774096,0,0,0.126125493,0.080013823,0
Smacks,Kelloggs,2,1,0.75,cold,110,2,1,70,1,9,15,40,25,31.230054,3.884180791,0.070621469,0.035310734,2.471751412,0.035310734,0.31779661,0.529661017,1.412429379,0.882768362,1.334274953,12.00847458,2.668549906,20.01412429,0.020527307,0.053370998,0.047652677,0.555947897
Special K,Kelloggs,1,1,1,cold,110,6,0,230,1,16,3,55,25,53.131324,3.884180791,0.211864407,0,8.121468927,0.035310734,0.564971751,0.105932203,1.942090395,0.882768362,0,16.01129944,6.004237288,3.002118644,0,0.071161331,0.107218523,0.083392185
Strawberry Fruit Wheats,Nabisco,2,1,-1,cold,90,2,0,15,3,15,5,90,25,59.363993,3.177966102,0.070621469,0,0.529661017,0.105932203,0.529661017,0.176553672,3.177966102,0.882768362,0,-15.01059322,-2.001412429,-5.003531073,0,-0.066713748,-0.035739508,-0.138986974
Total Corn Flakes,General Mills,3,1,1,cold,110,2,1,200,0,21,3,35,100,38.839746,3.884180791,0.070621469,0.035310734,7.062146893,0,0.741525424,0.105932203,1.235875706,3.531073446,1.000706215,21.01483051,2.001412429,3.002118644,0.01539548,0.093399247,0.035739508,0.083392185
Total Raisin Bran,General Mills,3,1.5,1,cold,140,3,1,190,4,15,14,230,100,28.592785,3.29566855,0.070621469,0.02354049,4.472693032,0.094161959,0.353107345,0.329566855,5.414312618,2.354048964,1.000706215,15.01059322,3.002118644,14.00988701,0.01539548,0.066713748,0.053609262,0.389163528
Total Whole Grain,General Mills,3,1,1,cold,100,3,1,200,3,16,3,110,100,46.658844,3.531073446,0.105932203,0.035310734,7.062146893,0.105932203,0.564971751,0.105932203,3.884180791,3.531073446,1.000706215,16.01129944,3.002118644,3.002118644,0.01539548,0.071161331,0.053609262,0.083392185
Triples,General Mills,3,1,0.75,cold,110,2,1,250,0,21,3,60,25,39.106174,3.884180791,0.070621469,0.035310734,8.827683616,0,0.741525424,0.105932203,2.118644068,0.882768362,1.334274953,28.01977401,2.668549906,4.002824859,0.020527307,0.124532329,0.047652677,0.111189579
Trix,General Mills,2,1,1,cold,110,1,1,140,0,13,12,25,25,27.753301,3.884180791,0.035310734,0.035310734,4.943502825,0,0.459039548,0.423728814,0.882768362,0.882768362,1.000706215,13.00918079,1.000706215,12.00847458,0.01539548,0.057818581,0.017869754,0.333568738
Wheat Chex,Ralston Purina,1,1,0.67,cold,100,3,1,230,3,17,3,115,25,49.787445,3.531073446,0.105932203,0.035310734,8.121468927,0.105932203,0.600282486,0.105932203,4.060734463,0.882768362,1.493591365,25.39105321,4.480774096,4.480774096,0.022978329,0.112849125,0.080013823,0.124465947
Wheaties,General Mills,1,1,1,cold,100,3,1,200,3,17,3,110,25,51.592193,3.531073446,0.105932203,0.035310734,7.062146893,0.105932203,0.600282486,0.105932203,3.884180791,0.882768362,1.000706215,17.01200565,3.002118644,3.002118644,0.01539548,0.075608914,0.053609262,0.083392185
Wheaties Honey Gold,General Mills,1,1,0.75,cold,110,2,1,200,1,16,8,60,25,36.187559,3.884180791,0.070621469,0.035310734,7.062146893,0.035310734,0.564971751,0.282485876,2.118644068,0.882768362,1.334274953,21.34839925,2.668549906,10.67419962,0.020527307,0.094881774,0.047652677,0.296505545
